Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[Stage16-DBLockRecoveryLocust] Cart Add (Lock Test),6981,0,25,39.889914627274905,9.59869999996954,587.3022400000991,303.69603208709356,76.93713797648209,0.0,25,34,42,49,80,130,190,250,440,590,590
GET,[Stage16-DBLockRecoveryLocust] Fetch Products (Setup),1,0,19.444835999820498,19.444835999820498,19.444835999820498,19.444835999820498,4096.0,0.011020933673754776,0.0,19,19,19,19,19,19,19,19,19,19,19
POST,[Stage16-DBLockRecoveryLocust] Login,40,0,290.0,471.4246139749889,232.3326820001057,2514.17686700006,369.575,0.44083734695019106,0.0,290,320,370,400,1400,2100,2500,2500,2500,2500,2500
POST,[Stage16-DBLockRecoveryLocust] Order Create (Lock Test),1182,0,6,14.662450285954723,2.8345199998511816,293.60970599964276,96.0,13.026743602378145,0.0,6,9,12,14,26,61,110,140,280,290,290
POST,[Stage16-DBLockRecoveryLocust] Order Flow - Cart Add,3480,2298,25,39.15700548017219,10.45303499995498,631.587583000055,312.58879310344827,38.352849184666624,25.326105582288477,25,33,42,49,75,120,190,240,500,630,630
POST,[Stage16-DBLockRecoveryLocust] Payment Request (Lock Test),2057,0,6,13.603933679138102,2.876326000205154,437.82901899976423,96.0,22.670060566913577,0.0,6,9,11,13,22,40,96,170,400,440,440
GET,[Stage16-DBLockRecoveryLocust] Products List (Read),1327,0,28,36.71154304898973,16.617137999674014,357.96448000019154,4888.0,14.624778985072588,0.0,28,33,38,41,58,84,130,180,320,360,360
,Aggregated,15068,2298,22,35.017575519046986,2.8345199998511816,2514.17686700006,665.2581629944252,166.063428596137,25.326105582288477,22,29,37,43,69,110,190,250,460,2100,2500
